"lhs","op","rhs","label","est","se","z","pvalue","ci.lower","ci.upper","std.lv","std.all"
"active_mode","~~","active_mode","",0.235646872392684,0.00200191300151779,117.710845683116,0,0.231723195009526,0.239570549775841,0.235646872392684,1
"active_mode","~~","hh_6","",-0.0000220062963321272,0.00469218312206392,-0.00468999094017615,0.996257942356926,-0.00921851622444412,0.00917450363177987,-0.0000220062963321272,-0.0000907481444240017
"hh_6","~~","hh_6","",0.249549512889401,0.00203370479838193,122.706851598102,0,0.245563524729386,0.253535501049416,0.249549512889401,1
"indirect",":=","a*b","indirect",-0.0231324183753695,0.00741166887504532,-3.12108092864956,0.00180188508085877,-0.0376590224357948,-0.00860581431494414,-0.0420426834609905,-0.0421731660393787
"direct",":=","c","direct",0.0906681653831508,0.0204422493179205,4.43533213850725,0.00000919304414259692,0.0506020929570381,0.130734237809263,0.164787482023555,0.165298912164794
"total",":=","c+a*b","total",0.0675357470077813,0.0173049009754274,3.90269479748429,0.0000951276233625009,0.0336187643399115,0.101452729675651,0.122744798562564,0.123125746125415
"direct_div",":=","c*1","direct_div",0.0906681653831508,0.0204422493179205,4.43533213850725,0.00000919304414259692,0.0506020929570381,0.130734237809263,0.164787482023555,0.165298912164794
"direct_dur",":=","c*lam2","direct_dur",0.0847401086537836,0.019185258075718,4.41693868903624,0.0000100108610618932,0.0471376937912702,0.122342523516297,0.0847401086537836,0.0893325429159847
"indirect_div",":=","a*b*1","indirect_div",-0.0231324183753695,0.00741166887504532,-3.12108092864956,0.00180188508085877,-0.0376590224357948,-0.00860581431494414,-0.0420426834609905,-0.0421731660393787
"indirect_dur",":=","a*b*lam2","indirect_dur",-0.0216199769596074,0.00692932879654937,-3.12006798845706,0.00180809302017515,-0.0352012118378804,-0.00803874208133432,-0.0216199769596074,-0.0227916573423049
"total_div",":=","(c+a*b)*1","total_div",0.0675357470077813,0.0173049009754274,3.90269479748429,0.0000951276233625009,0.0336187643399115,0.101452729675651,0.122744798562564,0.123125746125415
"total_dur",":=","(c+a*b)*lam2","total_dur",0.0631201316941763,0.0162406745814236,3.88654617625146,0.000101680591981568,0.0312889944299508,0.0949512689584017,0.0631201316941763,0.0665408855736798
