primary,count,cumulative_count,cumulative_percent,tag
car_buyer,8,2097211,99.9451953214914,Other
natural_hot_springs,8,2097219,99.94557657142884,Social & Leisure
coffee_roastery,8,2097227,99.94595782136629,Social & Leisure
aggregate_supplier,8,2097235,99.94633907130375,Essential needs
scale_supplier,8,2097243,99.9467203212412,Other
b2b_hardware,8,2097251,99.94710157117865,Civic and utility
bearing_supplier,8,2097259,99.9474828211161,Essential needs
jehovahs_witness_kingdom_hall,7,2097266,99.94781641481137,Social & Leisure
emergency_roadside_service,7,2097273,99.94815000850664,Civic and utility
department_of_social_service,7,2097280,99.9484836022019,Civic and utility
lawn_mower_repair_service,7,2097287,99.94881719589718,Civic and utility
medical_sciences_schools,7,2097294,99.94915078959245,Education
neuropathologist,7,2097301,99.94948438328773,Health services
agricultural_production,7,2097308,99.94981797698298,Essential needs
irrigation_companies,7,2097315,99.95015157067826,Civic and utility
asian_art_museum,7,2097322,99.95048516437353,Social & Leisure
football_club,7,2097329,99.95081875806879,Social & Leisure
civilization_museum,7,2097336,99.95115235176407,Social & Leisure
brewing_supply_store,7,2097343,99.95148594545934,Social & Leisure
abrasives_supplier,7,2097350,99.95181953915461,Essential needs
film_festivals_and_organizations,7,2097357,99.95215313284987,Social & Leisure
cosmetic_products_manufacturer,7,2097364,99.95248672654515,Other
island,7,2097371,99.95282032024042,Other
ukrainian_restaurant,7,2097378,99.9531539139357,Social & Leisure
dive_bar,7,2097385,99.95348750763095,Social & Leisure
indoor_playcenter,7,2097392,99.95382110132623,Social & Leisure
addiction_rehabilitation_center,7,2097399,99.95415469502149,Health services
turnery,7,2097406,99.95448828871677,Other
mountain_bike_parks,7,2097413,99.95482188241203,Social & Leisure
flyboarding_center,7,2097420,99.95515547610731,Social & Leisure
skating_rink,7,2097427,99.95548906980257,Social & Leisure
check_cashing_payday_loans,7,2097434,99.95582266349784,Essential needs
snow_removal_service,7,2097441,99.95615625719311,Civic and utility
paralegal_services,7,2097448,99.95648985088839,Civic and utility
venezuelan_restaurant,7,2097455,99.95682344458365,Social & Leisure
plastic_injection_molding_workshop,7,2097462,99.95715703827892,Other
polynesian_restaurant,7,2097469,99.9574906319742,Social & Leisure
kickboxing_club,7,2097476,99.95782422566947,Social & Leisure
textile_museum,7,2097483,99.95815781936473,Social & Leisure
chicken_wings_restaurant,7,2097490,99.95849141306,Social & Leisure
boat_storage_facility,7,2097497,99.95882500675528,Social & Leisure
decorative_arts_museum,7,2097504,99.95915860045054,Social & Leisure
chamber_of_handicraft,7,2097511,99.95949219414581,Civic and utility
home_window_tinting,7,2097518,99.95982578784108,Other
billing_services,7,2097525,99.96015938153636,Civic and utility
honduran_restaurant,7,2097532,99.96049297523162,Social & Leisure
furniture_reupholstery,7,2097539,99.96082656892689,Other
water_softening_equipment_supplier,7,2097546,99.96116016262216,Essential needs
medical_law,7,2097553,99.96149375631744,Health services
boxing_gym,6,2097559,99.96177969377051,Social & Leisure
vegan_restaurant,6,2097565,99.96206563122361,Social & Leisure
psychoanalyst,6,2097571,99.9623515686767,Health services
environmental_renewable_natural_resource,6,2097577,99.96263750612978,Civic and utility
pie_shop,6,2097583,99.96292344358288,Essential needs
lighthouse,6,2097589,99.96320938103595,Civic and utility
montessori_school,6,2097595,99.96349531848905,Education
